Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,47.090000,47.480000,46.549999,46.930000,44.676796,20490400
2019-01-02,45.959999,47.470001,45.770000,47.080002,44.819595,18774600
2019-01-03,46.150002,46.279999,44.389999,44.490002,42.353947,32267300
2019-01-04,45.840000,47.570000,45.540001,47.220001,44.952866,35447300
2019-01-07,47.099998,48.000000,46.750000,47.439999,45.162308,22736800
2019-01-08,47.799999,48.029999,46.779999,47.740002,45.447910,22749200
2019-01-09,47.959999,48.570000,47.779999,48.009998,45.704941,22554500
2019-01-10,47.750000,48.650002,47.410000,48.560001,46.228535,27202600
2019-01-11,48.099998,49.290001,48.049999,48.930000,46.580769,21751300
2019-01-14,48.459999,48.830002,48.299999,48.349998,46.028614,19193900
2019-01-15,48.709999,49.130001,48.439999,48.599998,46.266613,22480800
2019-01-16,48.599998,48.889999,48.080002,48.130001,45.819183,19057700
2019-01-17,48.000000,48.840000,47.910000,48.470001,46.142853,17448700
2019-01-18,49.110001,49.380001,48.689999,49.189999,46.828289,29874600
2019-01-22,48.959999,48.980000,47.869999,48.270000,45.952461,25940700
2019-01-23,48.410000,48.799999,47.520000,47.939999,45.638306,18960700
2019-01-24,48.700001,50.040001,48.599998,49.759998,47.370918,50578300
2019-01-25,46.849998,47.430000,45.750000,47.040001,44.781513,86455700
2019-01-28,46.130001,46.730000,46.049999,46.709999,44.467358,35928700
2019-01-29,46.779999,46.970001,46.330002,46.540001,44.305527,20988300
2019-01-30,46.680000,47.680000,46.450001,47.540001,45.257515,26931700
2019-01-31,46.700001,47.180000,46.099998,47.119999,44.857670,43051300
2019-02-01,47.060001,49.049999,47.009998,48.730000,46.390377,37442900
2019-02-04,48.619999,49.240002,48.240002,49.220001,46.856853,20905000
2019-02-05,49.180000,50.720001,49.180000,50.009998,47.608917,31641600
2019-02-06,49.950001,50.639999,49.820000,49.900002,47.805317,21647800
2019-02-07,49.500000,49.849998,48.680000,49.230000,47.163437,27825900
2019-02-08,48.770000,49.020000,48.009998,48.840000,46.789810,18851200
2019-02-11,49.020000,49.320000,48.580002,48.770000,46.722744,18004100
2019-02-12,49.360001,50.139999,49.270000,50.009998,47.910694,18050100
2019-02-13,50.130001,50.810001,50.000000,50.470001,48.351383,17712800
2019-02-14,50.410000,51.040001,50.349998,50.810001,48.677120,17545400
2019-02-15,51.250000,51.669998,51.090000,51.660000,49.491436,22520400
2019-02-19,51.349998,51.709999,51.340000,51.400002,49.242348,15611800
2019-02-20,51.630001,51.730000,51.060001,51.389999,49.232769,21607700
2019-02-21,51.320000,51.840000,51.209999,51.410000,49.251930,16162100
2019-02-22,52.700001,52.980000,52.060001,52.490002,50.286587,31934100
2019-02-25,53.060001,53.610001,52.860001,53.099998,50.870983,20711800
2019-02-26,53.009998,53.369999,52.910000,53.230000,50.995522,16082200
2019-02-27,52.759998,53.380001,52.509998,53.240002,51.005112,17590300
2019-02-28,52.919998,53.180000,52.810001,52.959999,50.736855,18388800
2019-03-01,53.439999,53.680000,52.889999,53.299999,51.062588,18359300
2019-03-04,53.750000,54.099998,53.209999,53.939999,51.675720,21706100
2019-03-05,53.849998,53.990002,53.110001,53.680000,51.426632,21057700
2019-03-06,53.630001,53.650002,52.939999,52.950001,50.727280,14740500
2019-03-07,52.770000,52.990002,52.360001,52.599998,50.391964,17803000
2019-03-08,51.970001,52.560001,51.700001,52.480000,50.277012,16793900
2019-03-11,52.880001,53.650002,52.570000,53.349998,51.110485,18963000
2019-03-12,53.340000,53.959999,53.180000,53.570000,51.321255,20782100
2019-03-13,54.000000,54.570000,53.650002,54.369999,52.087669,25522300
2019-03-14,54.299999,54.450001,53.330002,53.439999,51.196709,26647100
2019-03-15,53.680000,54.689999,53.680000,54.330002,52.049355,46512500
2019-03-18,54.419998,54.509998,53.869999,54.099998,51.829002,16274000
2019-03-19,54.470001,54.650002,54.000000,54.169998,51.896072,18274800
2019-03-20,54.060001,54.400002,53.610001,53.820000,51.560760,24325300
2019-03-21,53.919998,54.990002,53.840000,54.639999,52.346336,19127200
2019-03-22,54.400002,54.619999,53.209999,53.259998,51.024265,21438400
2019-03-25,52.970001,53.549999,52.380001,52.779999,50.564411,16971400
2019-03-26,53.320000,53.770000,53.040001,53.439999,51.196709,17724300
2019-03-27,53.590000,53.860001,52.939999,53.160000,50.928463,19656000
2019-03-28,53.250000,53.439999,52.770000,53.110001,50.880562,13607900
2019-03-29,53.799999,54.040001,53.480000,53.700001,51.445797,18736100
2019-04-01,54.340000,54.570000,54.099998,54.509998,52.221794,17830400
2019-04-02,54.529999,54.799999,54.230000,54.360001,52.078094,13704500
2019-04-03,55.029999,55.990002,54.889999,55.480000,53.151073,24552800
2019-04-04,55.270000,56.139999,55.270000,55.919998,53.572605,16520500
2019-04-05,55.750000,55.950001,54.869999,55.599998,53.266041,19268400
2019-04-08,55.279999,55.740002,55.200001,55.680000,53.342682,11758800
2019-04-09,55.349998,55.430000,54.900002,55.320000,52.997791,13339700
2019-04-10,55.320000,55.860001,55.320000,55.750000,53.409740,13084000
2019-04-11,55.759998,56.070000,55.630001,55.799999,53.457645,10845800
2019-04-12,56.209999,56.490002,55.840000,56.419998,54.051617,12910200
2019-04-15,56.459999,56.560001,55.919998,56.279999,53.917492,11676900
2019-04-16,56.660000,57.470001,56.070000,56.709999,54.329445,30301900
2019-04-17,58.439999,59.590000,58.119999,58.560001,56.101791,38788400
2019-04-18,58.709999,58.880001,58.119999,58.490002,56.034725,20464200
2019-04-22,58.150002,58.830002,57.880001,58.820000,56.350868,12327500
2019-04-23,58.889999,58.980000,58.500000,58.779999,56.312550,17739900
2019-04-24,58.520000,59.290001,58.139999,58.720001,56.255070,17723700
2019-04-25,58.299999,58.380001,57.230000,57.610001,55.191662,27949900
2019-04-26,52.740002,53.090000,51.520000,52.430000,50.229107,72364500
2019-04-29,52.169998,52.430000,51.000000,51.110001,48.964520,42142300
2019-04-30,51.000000,51.430000,50.869999,51.040001,48.897453,27130900
2019-05-01,51.099998,51.599998,50.740002,50.759998,48.629211,20467600
2019-05-02,50.799999,51.330002,50.119999,50.549999,48.428024,22655400
2019-05-03,51.080002,51.820000,50.730000,51.750000,49.577652,25656600
2019-05-06,50.250000,51.279999,50.189999,51.220001,49.370419,26245200
2019-05-07,50.599998,50.880001,49.930000,50.480000,48.657143,29713400
2019-05-08,50.200001,50.790001,49.070000,49.240002,47.461918,36812400
2019-05-09,47.900002,48.290001,46.049999,46.619999,44.936523,59642200
2019-05-10,46.439999,46.799999,45.099998,46.200001,44.531693,42522800
2019-05-13,45.330002,45.639999,44.700001,44.759998,43.143692,39091900
2019-05-14,45.180000,45.490002,44.869999,45.169998,43.538883,24706500
2019-05-15,44.919998,45.750000,44.759998,45.619999,43.972633,23407900
2019-05-16,45.470001,45.950001,45.419998,45.529999,43.885891,19954700
2019-05-17,45.180000,45.730000,44.759998,44.889999,43.268997,22500400
2019-05-20,44.000000,44.520000,43.450001,43.560001,41.987022,28675000
2019-05-21,44.340000,44.779999,44.180000,44.459999,42.854523,25543400
2019-05-22,44.150002,44.459999,43.849998,44.000000,42.411137,16932500
2019-05-23,43.369999,44.740002,42.860001,44.529999,42.921993,35783900
2019-05-24,44.590000,45.049999,44.490002,44.570000,42.960552,27168100
2019-05-28,44.660000,44.689999,43.299999,43.570000,41.996662,34779900
2019-05-29,43.349998,44.529999,43.330002,44.230000,42.632828,28450300
2019-05-30,44.299999,45.029999,44.230000,44.730000,43.114773,21618900
2019-05-31,44.180000,44.970001,43.930000,44.040001,42.449692,25532500
2019-06-03,44.250000,44.590000,43.200001,43.459999,41.890636,31155700
2019-06-04,44.160000,44.860001,43.770000,44.790001,43.172607,28094900
2019-06-05,45.110001,45.180000,44.189999,44.549999,42.941277,20802000
2019-06-06,44.750000,45.169998,44.509998,45.099998,43.471413,19076200
2019-06-07,45.250000,46.119999,45.099998,46.029999,44.367828,24370300
2019-06-10,46.230000,47.189999,46.200001,46.799999,45.110027,20806100
2019-06-11,47.259998,47.320000,46.520000,46.849998,45.158218,18415500
2019-06-12,46.669998,46.669998,46.250000,46.320000,44.647354,15899100
2019-06-13,46.599998,46.959999,46.529999,46.700001,45.013634,12267600
2019-06-14,45.830002,46.419998,45.549999,46.189999,44.522049,15381100
2019-06-17,46.139999,46.529999,45.799999,46.130001,44.464218,12643300
2019-06-18,46.750000,48.000000,46.599998,47.369999,45.659443,25732300
2019-06-19,47.480000,47.580002,47.000000,47.070000,45.370277,17436400
2019-06-20,47.869999,48.049999,46.869999,47.189999,45.485939,20126800
2019-06-21,46.950001,47.730000,46.799999,47.459999,45.746193,31096300
2019-06-24,47.400002,47.849998,47.169998,47.630001,45.910053,14479900
2019-06-25,47.560001,47.680000,46.799999,46.849998,45.158218,16665600
2019-06-26,47.650002,48.480000,47.560001,48.189999,46.449829,21886300
2019-06-27,48.150002,48.419998,47.240002,47.459999,45.746193,23062900
2019-06-28,47.770000,48.200001,47.680000,47.869999,46.141384,26646200
