Date,Open,High,Low,Close,Adj Close,Volume
2019-02-21,83.570000,84.150002,83.349998,83.949997,82.286049,8579200
2019-02-22,84.199997,85.019997,84.029999,84.760002,83.080002,4449500
2019-02-25,85.389999,85.730003,84.959999,85.169998,83.481865,6229700
2019-02-26,85.309998,86.080002,85.199997,85.800003,84.099380,6678700
2019-02-27,85.529999,86.220001,85.059998,86.169998,84.462044,4588200
2019-02-28,86.080002,86.400002,85.680000,85.730003,84.030785,4988100
2019-03-01,86.930000,87.989998,86.239998,87.160004,85.652222,6314900
2019-03-04,87.320000,87.989998,85.110001,85.639999,84.158516,7339500
2019-03-05,85.879997,86.250000,85.440002,85.440002,83.961990,4976300
2019-03-06,85.599998,85.989998,85.040001,85.129997,83.657349,3198000
2019-03-07,84.970001,85.410004,84.660004,85.260002,83.785103,4321800
2019-03-08,84.580002,84.879997,84.019997,84.800003,83.333054,4669700
2019-03-11,85.389999,85.940002,85.050003,85.820000,84.335403,3999800
2019-03-12,85.779999,86.080002,85.019997,85.430000,83.952164,4431600
2019-03-13,85.699997,86.660004,85.599998,85.930000,84.443512,5037800
2019-03-14,86.150002,86.879997,85.699997,86.870003,85.367256,5906100
2019-03-15,87.220001,87.610001,85.959999,86.800003,85.298454,11031400
2019-03-18,87.300003,87.839996,87.000000,87.820000,86.300812,7750700
2019-03-19,88.220001,88.589996,87.290001,87.690002,86.173058,6642200
2019-03-20,87.500000,87.580002,86.089996,86.690002,85.190361,5991500
2019-03-21,87.239998,88.120003,86.830002,88.010002,86.487534,10386900
2019-03-22,85.199997,85.900002,82.150002,82.190002,80.768219,21659800
2019-03-25,81.480003,83.220001,80.889999,82.330002,80.905777,15558300
2019-03-26,83.629997,84.089996,82.910004,83.379997,81.937614,9611900
2019-03-27,83.690002,83.800003,82.040001,83.089996,81.652634,6485100
2019-03-28,83.930000,84.720001,83.699997,84.040001,82.586197,6032700
2019-03-29,84.599998,84.849998,83.860001,84.209999,82.753273,6492000
2019-04-01,85.040001,85.320000,84.699997,85.230003,83.755623,6737400
2019-04-02,85.000000,85.260002,84.160004,84.370003,82.910507,4433800
2019-04-03,84.900002,84.989998,84.250000,84.470001,83.008766,4080900
2019-04-04,84.489998,85.379997,84.360001,85.279999,83.804749,3660700
2019-04-05,86.000000,86.160004,85.050003,85.400002,83.922676,7367400
2019-04-08,85.010002,85.290001,84.570000,84.730003,83.264267,4705800
2019-04-09,84.220001,84.599998,83.970001,84.279999,82.822037,3804500
2019-04-10,84.639999,85.010002,84.559998,84.879997,83.411674,3918400
2019-04-11,84.900002,85.050003,84.279999,85.000000,83.529602,3347400
2019-04-12,85.300003,86.489998,85.290001,86.239998,84.748146,6037000
2019-04-15,86.889999,87.239998,86.440002,86.830002,85.327934,5034900
2019-04-16,87.000000,87.949997,87.000000,87.800003,86.281158,4652700
2019-04-17,87.949997,88.970001,87.449997,88.730003,87.195084,5694900
2019-04-18,88.760002,90.000000,88.699997,89.199997,87.656929,7016600
2019-04-22,88.349998,88.639999,87.300003,87.360001,85.848778,5390500
2019-04-23,87.570000,87.669998,87.010002,87.430000,85.917557,7513700
2019-04-24,87.669998,88.820000,87.430000,88.389999,86.860954,8063000
2019-04-25,88.400002,88.540001,87.489998,87.559998,86.045303,7069900
2019-04-26,87.949997,88.940002,87.330002,88.309998,86.782333,6219600
2019-04-29,88.180000,88.510002,88.129997,88.260002,86.733208,5008400
2019-04-30,88.290001,88.400002,87.260002,87.830002,86.310638,7614100
2019-05-01,87.730003,87.949997,85.870003,85.900002,84.414024,6524600
2019-05-02,86.209999,86.279999,84.989998,85.269997,83.794930,6813700
2019-05-03,85.900002,86.300003,85.699997,85.699997,84.217484,6798300
2019-05-06,83.769997,83.870003,82.860001,83.570000,82.124336,12836600
2019-05-07,83.019997,83.629997,81.830002,82.540001,81.112144,9811300
2019-05-08,82.430000,83.989998,82.139999,82.769997,81.338173,9501300
2019-05-09,82.209999,83.010002,81.540001,82.980003,81.544533,6336600
2019-05-10,82.779999,84.269997,82.190002,83.949997,82.497749,5450500
2019-05-13,81.650002,82.629997,81.320000,82.529999,81.102325,6445200
2019-05-14,82.779999,84.000000,82.059998,83.669998,82.222595,7529200
2019-05-15,83.169998,84.489998,82.940002,84.010002,82.556725,4862200
2019-05-16,84.510002,85.400002,84.199997,84.279999,82.822037,6745200
2019-05-17,83.510002,85.519997,83.500000,84.570000,83.107033,5068200
2019-05-20,83.800003,83.800003,82.739998,82.849998,81.416794,7181900
2019-05-21,83.360001,83.800003,82.510002,83.639999,82.193115,5762500
2019-05-22,82.989998,83.339996,82.760002,83.199997,81.760727,5237800
2019-05-23,82.500000,83.059998,81.989998,82.639999,81.210419,9704200
2019-05-24,82.199997,83.169998,82.089996,82.160004,80.738724,5999000
2019-05-28,82.849998,83.190002,81.129997,81.199997,79.795319,7927300
2019-05-29,80.709999,80.860001,77.699997,78.870003,77.505638,10116900
2019-05-30,78.919998,79.730003,78.610001,79.260002,77.888878,6177800
2019-05-31,78.000000,78.260002,77.070000,77.139999,76.016556,8891100
2019-06-03,77.239998,78.580002,77.080002,77.959999,76.824623,11665500
2019-06-04,79.300003,81.650002,78.779999,81.620003,80.431313,7526800
2019-06-05,82.290001,82.900002,81.930000,82.720001,81.515297,8173200
2019-06-06,82.720001,83.059998,82.080002,82.449997,81.249229,4953000
2019-06-07,83.089996,83.680000,82.809998,83.410004,82.195259,3891100
2019-06-10,83.750000,84.199997,82.449997,82.580002,81.377335,4419800
2019-06-11,83.650002,84.339996,83.129997,83.260002,82.047440,3939400
2019-06-12,83.480003,84.019997,82.519997,82.629997,81.426605,4025900
2019-06-13,83.150002,83.919998,83.050003,83.610001,82.392342,3383400
2019-06-14,83.510002,83.860001,83.040001,83.440002,82.224808,4355600
2019-06-17,83.339996,83.459999,82.010002,82.110001,80.914185,5101900
2019-06-18,82.699997,84.650002,82.500000,84.300003,83.072296,6456500
2019-06-19,83.730003,83.900002,83.139999,83.550003,82.333206,6217700
2019-06-20,84.900002,85.669998,84.419998,85.239998,83.998596,6163800
2019-06-21,85.160004,85.750000,84.599998,85.750000,84.501167,9289800
2019-06-24,86.000000,86.849998,84.370003,84.500000,83.269371,8043300
2019-06-25,84.599998,84.690002,82.160004,82.620003,81.416756,7339900
2019-06-26,83.150002,83.690002,82.440002,82.550003,81.347771,5838500
2019-06-27,82.930000,83.769997,82.930000,83.660004,82.441612,11436700
2019-06-28,83.989998,84.750000,82.669998,83.949997,82.727379,12443800
